t_s,a_code,b_code,c,d
0.00083,114,111,0,0
0.00084,115,112,0,0
0.00085,115,112,0,0
0.00086,115,112,0,0
0.00087,115,112,0,0
0.00088,115,112,0,0
0.00089,115,112,0,0
0.0009,115,111,0,0
0.00091,115,112,0,0
0.00092,115,112,0,0
0.00093,115,112,0,0
0.00094,115,111,0,0
0.00095,115,112,0,0
0.00096,115,112,0,0
0.00097,116,112,0,0
0.00098,115,111,0,0
0.00099,115,111,0,0
0.001,180,112,0,0
0.00101,180,112,0,0
0.00102,180,112,0,0
0.00103,180,112,0,0
0.00104,179,112,0,0
0.00105,179,112,0,0
0.00106,180,112,0,0
0.00107,180,111,0,0
0.00108,180,112,0,0
0.00109,179,112,0,0
0.0011,179,112,0,0
0.00111,179,112,0,0
0.00112,180,112,0,0
0.00113,180,111,0,0
0.00114,179,111,0,0
0.00115,179,111,0,0
0.00116,180,112,0,0
0.00117,180,112,0,0
0.00118,180,112,0,0
0.00119,179,112,0,0
0.0012,179,112,0,0
0.00121,180,112,0,0
0.00122,180,111,0,0
0.00123,180,112,0,0
0.00124,180,112,0,0
0.00125,180,112,0,0
0.00126,180,112,0,0
0.00127,180,112,0,0
0.00128,180,112,0,0
0.00129,180,112,0,0
0.0013,180,111,0,0
0.00131,180,112,0,0
0.00132,180,112,0,0
0.00133,180,112,0,0
0.00134,180,111,0,0
0.00135,179,111,0,0
0.00136,179,112,0,0
0.00137,180,112,0,0
0.00138,180,111,0,0
0.00139,179,112,0,0
0.0014,179,112,0,0
0.00141,179,112,0,0
0.00142,179,111,0,0
0.00143,180,112,0,0
0.00144,180,112,0,0
0.00145,179,112,0,0
0.00146,179,111,0,0
0.00147,180,112,0,0
0.00148,180,112,0,0
0.00149,180,112,0,0
0.0015,115,111,0,0
0.00151,114,111,0,0
0.00152,115,112,0,0
0.00153,116,112,0,0
0.00154,115,112,0,0
0.00155,115,111,0,0
0.00156,115,112,0,0
0.00157,115,112,0,0
0.00158,116,112,0,0
0.00159,115,112,0,0
0.0016,115,111,0,0
0.00161,115,112,0,0
0.00162,115,112,0,0
0.00163,115,111,0,0
0.00164,115,112,0,0
0.00165,115,112,0,0
0.00166,115,112,0,0
0.00167,115,112,0,0
0.00168,115,112,0,0
0.00169,115,111,0,0
0.0017,115,111,0,0
0.00171,115,111,0,0
0.00172,115,111,0,0
0.00173,115,112,0,0
0.00174,115,111,0,0
0.00175,115,112,0,0
